# ----------------------------------------
# Engagement overview
# Account: abels.co.uk
# Property: http://abels.co.uk
# ----------------------------------------
#  
# Start date: 20250101
# End date: 20251231
Nth week,Average engagement time per active user
0000,41.71177266576455
0001,38.74205202312139
0002,41.39829192546584
0003,47.81405750798722
0004,51.702412868632706
0005,43.279538904899134
0006,39.87175648702595
0007,34.58586626139817
0008,35.9
0009,35.55555555555556
0010,58.550666666666665
0011,50.60075093867334
0012,53.49342105263158
0013,52.310965630114566
0014,102.21871713985279
0015,49.94257588187038
0016,34.69670050761421
0017,54.40018656716418
0018,58.202991452991455
0019,43.61566265060241
0020,40.60802069857697
0021,43.75364238410596
0022,41.57733175914994
0023,61.68198757763975
0024,62.24814422057264
0025,40.834691501746214
0026,47.20957446808511
0027,47.62139423076923
0028,55.058461538461536
0029,48.21219512195122
0030,44.24134312696747
0031,35.947947947947945
0032,41.539975399754
0033,40.68458417849899
0034,44.11582568807339
0035,84.11349306431273
0036,34.59363957597173
0037,42.28362183754993
0038,42.031133250311335
0039,26.409980430528375
0040,30.344973544973545
0041,35.59946949602122
0042,45.20187165775401
0043,28.643571428571427
0044,49.320048309178745
0045,48.65817694369973
0046,54.99038461538461
0047,38.370565045992116
0048,48.731884057971016
0049,25.97966101694915
0050,35.143147208121825
0051,46.936344969199176
0052,42.8399071925754

# Start date: 20250101
# End date: 20251231
Nth week,Engaged sessions per active user
0000,0.9824086603518268
0001,1.027456647398844
0002,1.0124223602484472
0003,1.0345047923322683
0004,1.0301608579088473
0005,1.0172910662824208
0006,1.0513972055888223
0007,1.0714285714285714
0008,1.0467289719626167
0009,1.046875
0010,1.0746666666666667
0011,1.0876095118898623
0012,1.1407894736842106
0013,1.1227495908346972
0014,0.9905362776025236
0015,1.158326497128794
0016,1.0875634517766497
0017,1.1212686567164178
0018,1.1485042735042734
0019,1.0927710843373495
0020,1.0465717981888745
0021,1.0582781456953643
0022,1.024793388429752
0023,1.2459627329192546
0024,1.1972428419936374
0025,1.2013969732246799
0026,1.254255319148936
0027,0.8545673076923077
0028,0.7569230769230769
0029,0.7280487804878049
0030,0.6516264428121721
0031,0.6256256256256256
0032,0.6678966789667896
0033,0.6572008113590264
0034,0.6594036697247706
0035,0.6040353089533418
0036,0.6277974087161367
0037,0.6657789613848203
0038,0.6899128268991283
0039,0.5430528375733855
0040,0.5925925925925926
0041,0.713527851458886
0042,0.6497326203208557
0043,0.4035714285714286
0044,0.6256038647342995
0045,0.6246648793565683
0046,0.6401098901098901
0047,0.5795006570302234
0048,0.6521739130434783
0049,0.5898305084745763
0050,0.6060913705583756
0051,0.6201232032854209
0052,0.6194895591647331

# Start date: 20250101
# End date: 20251231
Nth week,Average engagement time per session
0000,38.43516209476309
0001,34.30518234165067
0002,37.55
0003,43.27877385772123
0004,46.55401327700664
0005,38.92690513219284
0006,33.785623678646935
0007,28.66183879093199
0008,31.255492270138323
0009,31.195734958111196
0010,49.17469204927212
0011,40.83838383838384
0012,41.484693877551024
0013,38.64812575574365
0014,92.49286393910562
0015,40.10540184453228
0016,29.75081610446137
0017,44.012830188679246
0018,45.70302013422819
0019,35.80712166172107
0020,34.83906770255272
0021,37.07519640852974
0022,36.83682008368201
0023,44.29438001784121
0024,46.22047244094488
0025,32.12179487179487
0026,33.7467680608365
0027,35.47090420769919
0028,42.80861244019139
0029,38.87315634218289
0030,38.12115732368897
0031,30.459711620016964
0032,34.74485596707819
0033,34.701557093425606
0034,37.09643201542912
0035,77.38051044083527
0036,29.37
0037,35.16611295681063
0038,35.30439330543933
0039,24.05614973262032
0040,26.7749766573296
0041,30.60661345496009
0042,38.29105322763307
0043,25.854932301740813
0044,40.51289682539682
0045,40.46711259754738
0046,43.84775465498357
0047,32.158590308370044
0048,41.056166056166056
0049,24.040150564617313
0050,31.045739910313902
0051,40.45663716814159
0052,38.87157894736842

#  
# Start date: 20250101
# End date: 20251231
Nth week,Views
0000,2248
0001,4621
0002,3905
0003,6650
0004,5405
0005,6356
0006,6363
0007,3940
0008,3320
0009,3987
0010,2940
0011,4453
0012,3391
0013,3156
0014,7383
0015,5794
0016,5692
0017,4840
0018,4763
0019,3950
0020,3003
0021,3262
0022,3095
0023,4249
0024,4240
0025,3320
0026,3668
0027,2503
0028,1719
0029,1727
0030,1649
