# ----------------------------------------
# Events: Event name
# Account: abels.co.uk
# Property: http://abels.co.uk
# ----------------------------------------
# 
# All Users
# Start date: 20250101
# End date: 20251231
Event name,Event count,Total users,Event count per active user,Total revenue,Key events
page_view,157642,48215,3.270106001203145,0,0
user_engagement,60718,27368,2.234661955761658,0,0
session_start,58358,47743,1.223771677815757,0,0
first_visit,47725,47402,1.0068140584785452,0,0
scroll,19345,11263,1.718791648156375,0,0
Automated greeting,14958,10825,1.3820567310357572,0,0
gclid_pickup,8847,4601,1.9673115410273516,0,0
make_an_enquiry,3065,1528,2.005890052356021,0,2472
GA4 Excess Luggage Submit,2221,729,3.046639231824417,0,0
dropdown_change,2221,729,3.046639231824417,0,0
live_chat,933,655,1.426605504587156,0,0
click,915,709,1.2923728813559323,0,0
Chat,736,655,1.1253822629969419,0,0
call_back_form_submit,696,555,1.256317689530686,0,689
GA4 Contact Us Form Submission,608,430,1.413953488372093,0,0
freephone_phone_click,390,358,1.1016949152542372,0,383
uk_phone_click,388,356,1.1022727272727273,0,385
view_search_results,363,120,3.025,0,0
contact_form_submit,285,231,1.2337662337662338,0,282
Post-chat survey filled in,202,183,1.1038251366120218,0,0
file_download,158,89,1.7752808988764044,0,0
GA4 UK Phone Click,89,74,1.2027027027027026,0,89
quick_enquiry_view,74,16,4.625,0,56
business_service_form_submit,72,37,1.945945945945946,0,71
GA4 London Phone Click,69,56,1.2321428571428572,0,69
footer_email_subscribe,41,33,1.2424242424242424,0,37
enquiries_email_click,39,38,1.0263157894736843,0,35
GA4 International Phone Click,35,29,1.206896551724138,0,35
customer_centre_phone_click,28,28,1,0,27
london_phone_click,25,25,1,0,24
video_progress,25,4,6.25,0,0
GA4 Customer Centre Phone Click,19,16,1.1875,0,0
international_phone_click,18,18,1,0,16
Freephone Click,13,13,1,0,13
video_start,13,8,1.625,0,0
quick_quote_form_submit,10,7,1.4285714285714286,0,10
job_enquiry_email_click,7,7,1,0,6
video_complete,3,2,1.5,0,0
feedback_email_click,2,2,1,0,1
