Campaign report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 January 2025 - 31 December 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Month,Campaign status,Campaign,Budget,Budget name,Budget type,Currency code,Status,Status reasons,Optimisation score,Campaign type,TrueView avg. CPV,Impr.,Interactions,Interaction rate,Avg. cost,Clicks,Conv. rate,Avg. CPC,Cost / conv.,Cost,Conversions,Impr. (Top) %,Search lost top IS (rank),Search impr. share,Search lost IS (budget),Search exact match IS,Bid strategy type,Conv. value,Conv. value / cost,Original conv. value
Jan-25,Enabled,JDR Search | Brand,5, --,Daily,GBP,Eligible,,78.82,Search,0,0,0, --,0,0,0.00%,0,0,0,0, --, --, --, --, --,Maximise Conversions,0,0,0
Feb-25,Enabled,JDR Search | Brand,5, --,Daily,GBP,Eligible,,78.82,Search,0,0,0, --,0,0,0.00%,0,0,0,0, --, --, --, --, --,Maximise Conversions,0,0,0
Mar-25,Enabled,JDR Search | Brand,5, --,Daily,GBP,Eligible,,78.82,Search,0,0,0, --,0,0,0.00%,0,0,0,0, --, --, --, --, --,Maximise Conversions,0,0,0
Apr-25,Enabled,JDR Search | Brand,5, --,Daily,GBP,Eligible,,78.82,Search,0,0,0, --,0,0,0.00%,0,0,0,0, --, --, --, --, --,Maximise Conversions,0,0,0
May-25,Enabled,JDR Search | Brand,5, --,Daily,GBP,Eligible,,78.82,Search,0,0,0, --,0,0,0.00%,0,0,0,0, --, --, --, --, --,Maximise Conversions,0,0,0
Jun-25,Enabled,JDR Search | Brand,5, --,Daily,GBP,Eligible,,78.82,Search,0,0,0, --,0,0,0.00%,0,0,0,0, --, --, --, --, --,Maximise Conversions,0,0,0
Jul-25,Enabled,JDR Search | Brand,5, --,Daily,GBP,Eligible,,78.82,Search,0,0,0, --,0,0,0.00%,0,0,0,0, --, --, --, --, --,Maximise Conversions,0,0,0
Aug-25,Enabled,JDR Search | Brand,5, --,Daily,GBP,Eligible,,78.82,Search,0,0,0, --,0,0,0.00%,0,0,0,0, --, --, --, --, --,Maximise Conversions,0,0,0
Sep-25,Enabled,JDR Search | Brand,5, --,Daily,GBP,Eligible,,78.82,Search,0,0,0, --,0,0,0.00%,0,0,0,0, --, --, --, --, --,Maximise Conversions,0,0,0
Oct-25,Enabled,JDR Search | Brand,5, --,Daily,GBP,Eligible,,78.82,Search,0,0,0, --,0,0,0.00%,0,0,0,0, --, --, --, --, --,Maximise Conversions,0,0,0
Nov-25,Enabled,JDR Search | Brand,5, --,Daily,GBP,Eligible,,78.82,Search,0,0,0, --,0,0,0.00%,0,0,0,0, --, --, --, --, --,Maximise Conversions,0,0,0
Dec-25,Enabled,JDR Search | Brand,5, --,Daily,GBP,Eligible,,78.82,Search,0,0,0, --,0,0,0.00%,0,0,0,0, --, --, --, --, --,Maximise Conversions,0,0,0
Jan-25,Enabled,JDR Search | International (High CPC Markets - Outbound),30, --,Daily,GBP,Eligible (Limited),limited by budget,70.68,Search,0,0,0, --,0,0,0.00%,0,0,0,0, --, --, --, --, --,Maximise Conversions (Target CPA),0,0,0
Feb-25,Enabled,JDR Search | International (High CPC Markets - Outbound),30, --,Daily,GBP,Eligible (Limited),limited by budget,70.68,Search,0,0,0, --,0,0,0.00%,0,0,0,0, --, --, --, --, --,Maximise Conversions (Target CPA),0,0,0
Mar-25,Enabled,JDR Search | International (High CPC Markets - Outbound),30, --,Daily,GBP,Eligible (Limited),limited by budget,70.68,Search,0,0,0, --,0,0,0.00%,0,0,0,0, --, --, --, --, --,Maximise Conversions (Target CPA),0,0,0
Apr-25,Enabled,JDR Search | International (High CPC Markets - Outbound),30, --,Daily,GBP,Eligible (Limited),limited by budget,70.68,Search,0,0,0, --,0,0,0.00%,0,0,0,0, --, --, --, --, --,Maximise Conversions (Target CPA),0,0,0
May-25,Enabled,JDR Search | International (High CPC Markets - Outbound),30, --,Daily,GBP,Eligible (Limited),limited by budget,70.68,Search,0,0,0, --,0,0,0.00%,0,0,0,0, --, --, --, --, --,Maximise Conversions (Target CPA),0,0,0
Jun-25,Enabled,JDR Search | International (High CPC Markets - Outbound),30, --,Daily,GBP,Eligible (Limited),limited by budget,70.68,Search,0,0,0, --,0,0,0.00%,0,0,0,0, --, --, --, --, --,Maximise Conversions (Target CPA),0,0,0
Jul-25,Enabled,JDR Search | International (High CPC Markets - Outbound),30, --,Daily,GBP,Eligible (Limited),limited by budget,70.68,Search,0,0,0, --,0,0,0.00%,0,0,0,0, --, --, --, --, --,Maximise Conversions (Target CPA),0,0,0
Aug-25,Enabled,JDR Search | International (High CPC Markets - Outbound),30, --,Daily,GBP,Eligible (Limited),limited by budget,70.68,Search,0,0,0, --,0,0,0.00%,0,0,0,0, --, --, --, --, --,Maximise Conversions (Target CPA),0,0,0
Sep-25,Enabled,JDR Search | International (High CPC Markets - Outbound),30, --,Daily,GBP,Eligible (Limited),limited by budget,70.68,Search,0,0,0, --,0,0,0.00%,0,0,0,0, --, --, --, --, --,Maximise Conversions (Target CPA),0,0,0
Oct-25,Enabled,JDR Search | International (High CPC Markets - Outbound),30, --,Daily,GBP,Eligible (Limited),limited by budget,70.68,Search,0,0,0, --,0,0,0.00%,0,0,0,0, --, --, --, --, --,Maximise Conversions (Target CPA),0,0,0
Nov-25,Enabled,JDR Search | International (High CPC Markets - Outbound),30, --,Daily,GBP,Eligible (Limited),limited by budget,70.68,Search,0,0,0, --,0,0,0.00%,0,0,0,0, --, --, --, --, --,Maximise Conversions (Target CPA),0,0,0
Dec-25,Enabled,JDR Search | International (High CPC Markets - Outbound),30, --,Daily,GBP,Eligible (Limited),limited by budget,70.68,Search,0,0,0, --,0,0,0.00%,0,0,0,0, --, --, --, --, --,Maximise Conversions (Target CPA),0,0,0
Jan-25,Enabled,JDR Search | Europe (Outbound),97, --,Daily,GBP,Eligible (Limited),limited by budget,72.47,Search,0,0,0, --,0,0,0.00%,0,0,0,0, --, --, --, --, --,Maximise Conversions (Target CPA),0,0,0
Feb-25,Enabled,JDR Search | Europe (Outbound),97, --,Daily,GBP,Eligible (Limited),limited by budget,72.47,Search,0,0,0, --,0,0,0.00%,0,0,0,0, --, --, --, --, --,Maximise Conversions (Target CPA),0,0,0
Mar-25,Enabled,JDR Search | Europe (Outbound),97, --,Daily,GBP,Eligible (Limited),limited by budget,72.47,Search,0,0,0, --,0,0,0.00%,0,0,0,0, --, --, --, --, --,Maximise Conversions (Target CPA),0,0,0
Apr-25,Enabled,JDR Search | Europe (Outbound),97, --,Daily,GBP,Eligible (Limited),limited by budget,72.47,Search,0,0,0, --,0,0,0.00%,0,0,0,0, --, --, --, --, --,Maximise Conversions (Target CPA),0,0,0
