Country,Clicks,Impressions,CTR,Position
United Kingdom,11590,3371374,0.34%,33.16
United States,380,896085,0.04%,39.44
India,290,87309,0.33%,38.02
France,139,28249,0.49%,40.38
Spain,123,31488,0.39%,45.74
Pakistan,113,15967,0.71%,35.56
Australia,100,23281,0.43%,39.49
Germany,94,41887,0.22%,40.73
Canada,85,46087,0.18%,38.6
South Africa,84,20880,0.4%,37.26
Netherlands,75,22475,0.33%,40.86
United Arab Emirates,73,12268,0.6%,38.1
Switzerland,67,7506,0.89%,35.72
Italy,65,47439,0.14%,44.97
New Zealand,46,6999,0.66%,38.67
Ireland,44,13597,0.32%,42.71
Singapore,43,7330,0.59%,37.42
Philippines,38,20713,0.18%,33.37
Bangladesh,37,15247,0.24%,40.86
Sweden,36,7242,0.5%,35.1
Turkey,33,20116,0.16%,40.53
Vietnam,30,39351,0.08%,43.98
Belgium,30,4477,0.67%,34.25
Morocco,28,9120,0.31%,39.47
Romania,28,5715,0.49%,36.22
Nigeria,28,4424,0.63%,25.74
Portugal,27,5145,0.52%,34.58
Norway,27,2810,0.96%,36.07
Poland,25,11046,0.23%,37.67
Hong Kong,23,3642,0.63%,37.52
Greece,23,3576,0.64%,35.93
Indonesia,22,20346,0.11%,38.87
Malaysia,22,15370,0.14%,40.08
Japan,22,10262,0.21%,40.11
Thailand,22,7092,0.31%,38.64
Zimbabwe,21,2280,0.92%,15.53
Israel,20,5335,0.37%,32.26
Egypt,19,10917,0.17%,40.45
Bermuda,19,1581,1.2%,14.62
Kenya,17,5072,0.34%,37.28
Mauritius,17,950,1.79%,27.94
Saudi Arabia,16,11924,0.13%,39.34
Denmark,16,2242,0.71%,32.66
Sri Lanka,16,1621,0.99%,25.11
Malta,16,1224,1.31%,23.32
Mexico,15,22746,0.07%,39.41
Austria,15,3009,0.5%,36.64
Armenia,15,952,1.58%,39.77
Taiwan,12,12836,0.09%,43.1
Brazil,11,360162,0%,42.58
Qatar,11,1847,0.6%,30.48
Colombia,10,11315,0.09%,37.25
Luxembourg,10,574,1.74%,38.1
Zambia,10,562,1.78%,22.31
Guernsey,10,227,4.41%,16.49
Russia,8,102153,0.01%,43.74
Cayman Islands,8,6044,0.13%,12.34
Tunisia,8,4704,0.17%,40.4
Oman,8,3921,0.2%,32.42
Czechia,8,3735,0.21%,40.07
Hungary,8,3337,0.24%,38.1
Serbia,8,2546,0.31%,36.69
Kuwait,8,2106,0.38%,32.46
Ukraine,7,15808,0.04%,42.76
Lithuania,7,9729,0.07%,46.22
Cyprus,7,6198,0.11%,49.33
Croatia,7,1218,0.57%,33.28
British Virgin Islands,7,796,0.88%,17.6
Antigua & Barbuda,7,487,1.44%,22.41
Algeria,6,4766,0.13%,38.97
Bulgaria,6,4061,0.15%,39.98
